[INFO] [1774904799.177978178] [control_serial_interface]: Starting Control Serial Interface Node
[WARN] [1774904799.284259909] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.384664210] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.484942900] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.584232506] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.684554329] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.784169214] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.884236586] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904799.984229288] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.084237792] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.184239315] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.284231348] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.384237723] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.484230643] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.584238199] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.684240319] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.785418851] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.884228742] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904800.984164790] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.084158842] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.184179797] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.284235431] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.384247420] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.484616018] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.584600045] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.684939703] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.784232805] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.884764410] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904801.985274742] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.084903540] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.184903050] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.286500905] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.384891421] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.485221079] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.584369471] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.684240822] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.784269049] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.884225213] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904802.984242292] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.084238467] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.184304812] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.284235497] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.384804177] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.484213897] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.584218281] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.684477869] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.784884797] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.884281894] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904803.984242672] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904804.084297946] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904804.184576140] [control_serial_interface]: Serial port is not open, unable to read data
[INFO] [1774904804.185535374] [control_serial_interface]: Attempting to open serial port for control board
[INFO] [1774904804.186323734] [control_serial_interface]: Requesting serial port from serial manager service
