[INFO] [1774742633.000598222] [serial_manager]: Starting Serial Manager Node
[INFO] [1774742636.011375811] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.011954566] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.012475968] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.013027785] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.013529111] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.014026241] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.014532956] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.015025062] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.015525723] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.016067318] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.016543609] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.017268716] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.018035463] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.018618284] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.019375300] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.020065000] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742636.020757011] [serial_manager]: Found serial port: /dev/ttyUSB0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.010510836] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.011066692] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.011643166] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.012166675] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.012662116] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.013170581] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.013713267] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.014245798] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.014777065] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.015362149] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.016055577] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.016807594] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.017545072] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.018317958] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.019049651] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.019798747] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742639.020510866] [serial_manager]: Found serial port: /dev/ttyUSB0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.011163701] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.011826618] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.012422611] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.013019352] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.013612596] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.014209604] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.014784859] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.015336427] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.015887322] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.016443223] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.017047371] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.017817441] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.018466862] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.019184221] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.019871636] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.020663098] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742642.021424349] [serial_manager]: Found serial port: /dev/ttyUSB0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.012570789] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.013313498] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.014148048] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.014828126] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.015523390] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.016198965] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.016862413] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.017542463] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.018170554] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742645.018980516] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
