[INFO] [1774904620.908639038] [control_serial_interface]: Starting Control Serial Interface Node
[INFO] [1774904620.912228405] [control_serial_interface]: Topics intitialized
[INFO] [1774904620.918526161] [control_serial_interface]: Serial services intitialized
[INFO] [1774904620.920597480] [control_serial_interface]: Serial parameters intitialized
[INFO] [1774904620.922214078] [control_serial_interface]: Control Serial Interface Node initialized successfully:
[WARN] [1774904621.022146313] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.122108638] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.222195425] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.322110819] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.422503802] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.522095414] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.622097514] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.722111326] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.822116628] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904621.922567902] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.022937045] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.123175217] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.222809684] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.322564257] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.423025897] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.522713919] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.622929579] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.722642307] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.823018371] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904622.922647173] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.022798165] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.122796749] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.222838347] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.322644373] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.422752725] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.522819768] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.623105244] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.722979078] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.823011604] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904623.922771315] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.023183400] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.122775684] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.222198265] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.322178704] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.422178898] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.522149925] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.622111616] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.722166657] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.822345957] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904624.922832395] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.022448829] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.122173751] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.222278672] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.322181181] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.423275487] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.522276605] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.622179538] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.732870162] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.822688756] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774904625.922770253] [control_serial_interface]: Serial port is not open, unable to read data
[INFO] [1774904625.923940358] [control_serial_interface]: Attempting to open serial port for control board
[INFO] [1774904625.924851494] [control_serial_interface]: Requesting serial port from serial manager service
