[INFO] [1775873872.429560402] [vehicle_control_string_parser]: Starting Vehicle Control String Parser Node
[INFO] [1775873872.432676082] [vehicle_control_string_parser]: Successfully loaded control codes
[INFO] [1775873887.275952236] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873888.275961309] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873889.276847373] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873890.274520059] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873891.274532340] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873892.277664275] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873893.278792919] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873894.277900545] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873895.274591516] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873896.277679632] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873897.277619443] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
