[INFO] [1774828454.125481465] [control_serial_interface]: Starting Control Serial Interface Node
[INFO] [1774828454.127581882] [control_serial_interface]: Topics intitialized
[INFO] [1774828454.130431648] [control_serial_interface]: Serial services intitialized
[INFO] [1774828454.132522420] [control_serial_interface]: Serial parameters intitialized
[INFO] [1774828454.134072743] [control_serial_interface]: Control Serial Interface Node initialized successfully:
[WARN] [1774828454.234581611] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.335189464] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.434468395] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.534755427] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.635111799] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.735240271] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.835537921] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828454.935666856] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.035099903] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.135763852] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.235739629] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.335657785] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.434503251] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.535566886] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.635666315] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.735733497] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.835929327] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828455.935581823] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.035775314] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.135764153] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.235734336] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.335751206] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.434439648] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.536508556] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.634400953] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.734604772] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.834608940] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828456.934587790] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.034468462] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.135083873] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.235726516] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.335270334] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.436442859] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.536784326] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.636095391] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.735074394] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.834746712] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828457.935695251] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.036077447] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.134689926] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.234306003] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.334802896] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.434578076] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.534828128] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.635153239] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.735582236] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.835099149] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828458.936068324] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828459.036490784] [control_serial_interface]: Serial port is not open, unable to read data
[WARN] [1774828459.135394752] [control_serial_interface]: Serial port is not open, unable to read data
[INFO] [1774828459.137977114] [control_serial_interface]: Attempting to open serial port for control board
[INFO] [1774828459.139929209] [control_serial_interface]: Requesting serial port from serial manager service
